 time            v(vout)         @l1[i]         
 2.61271721e-04  2.15440310e+02  3.69673151e+00 
 2.62271721e-04  2.15494808e+02  3.58069454e+00 
 2.63271721e-04  2.15546830e+02  3.46460514e+00 
 2.64271721e-04  2.15596376e+02  3.34846583e+00 
 2.65271721e-04  2.15643446e+02  3.23227911e+00 
 2.66271721e-04  2.15688038e+02  3.11604749e+00 
 2.67271721e-04  2.15730152e+02  2.99977348e+00 
 2.68271721e-04  2.15769788e+02  2.88345960e+00 
 2.69271721e-04  2.15806944e+02  2.76710837e+00 
 2.70271721e-04  2.15841620e+02  2.65072231e+00 
 2.71271721e-04  2.15873817e+02  2.53430395e+00 
 2.72271721e-04  2.15903532e+02  2.41785582e+00 
 2.73271721e-04  2.15930767e+02  2.30138047e+00 
 2.74271721e-04  2.15955520e+02  2.18488043e+00 
 2.75271721e-04  2.15977792e+02  2.06835826e+00 
 2.76271721e-04  2.15997583e+02  1.95181652e+00 
 2.77271721e-04  2.16014892e+02  1.83525777e+00 
 2.78271721e-04  2.16029718e+02  1.71868460e+00 
 2.79271721e-04  2.16042063e+02  1.60209960e+00 
 2.80271721e-04  2.16051926e+02  1.48550539e+00 
 2.81271721e-04  2.16059308e+02  1.36890459e+00 
 2.82271721e-04  2.16064208e+02  1.25229985e+00 
 2.83271721e-04  2.16066626e+02  1.13569387e+00 
 2.84271721e-04  2.16066564e+02  1.01908938e+00 
 2.85271721e-04  2.16064020e+02  9.02489159e-01 
 2.86271721e-04  2.16058996e+02  7.85896084e-01 
 2.87271721e-04  2.16051493e+02  6.69313136e-01 
 2.88271721e-04  2.16041510e+02  5.52743479e-01 
 2.89271721e-04  2.16029048e+02  4.36190571e-01 
 2.90271721e-04  2.16014108e+02  3.19658417e-01 
 2.91271721e-04  2.15996690e+02  2.03152204e-01 
 2.92271721e-04  2.15976796e+02  8.66805808e-02 
 2.93271721e-04  2.15954743e+02  1.57816204e-07 
 2.93873341e-04  2.15940922e+02  4.26629162e-08 
 2.94310611e-04  2.15930877e+02  1.55048066e-07 
 2.94734984e-04  2.15921129e+02  4.41600950e-08 
 2.95583731e-04  2.15901634e+02  1.83114428e-07 
 2.96583731e-04  2.15878667e+02  4.24598109e-08 
 2.97583731e-04  2.15855702e+02  1.57814013e-07 
 2.98583731e-04  2.15832740e+02  4.24603245e-08 
 2.99291866e-04  2.15816481e+02  1.83867203e-07 
 3.00000000e-04  2.15800224e+02  4.96167486e-08 
 3.00000100e-04  2.15800221e+02  1.03073639e-07 
 3.00000300e-04  2.15800217e+02  1.04182998e-07 
 3.00000500e-04  2.15800212e+02  1.00518355e-05 
 3.00000683e-04  2.15800208e+02  2.83023610e-05 
 3.00001000e-04  2.15800201e+02  6.00518355e-05 
 3.00001037e-04  2.15800200e+02  6.37019406e-05 
 3.00001110e-04  2.15800198e+02  7.10021508e-05 
 3.00001256e-04  2.15800195e+02  8.56025712e-05 
 3.00001548e-04  2.15800188e+02  1.14803412e-04 
 3.00002132e-04  2.15800175e+02  1.73205094e-04 
 3.00003300e-04  2.15800148e+02  2.90008457e-04 
 3.00005636e-04  2.15800094e+02  5.23615184e-04 
 3.00010308e-04  2.15799987e+02  9.90828638e-04 
 3.00019652e-04  2.15799773e+02  1.92525555e-03 
 3.00038341e-04  2.15799344e+02  3.79410936e-03 
 3.00075718e-04  2.15798486e+02  7.53181699e-03 
 3.00150472e-04  2.15796769e+02  1.50072323e-02 
 3.00299980e-04  2.15793337e+02  2.99580628e-02 
 3.00598997e-04  2.15786473e+02  5.98597238e-02 
 3.01197030e-04  2.15772745e+02  1.19663046e-01 
 3.02197030e-04  2.15749791e+02  2.19663046e-01 
 3.03197030e-04  2.15726841e+02  3.19663046e-01 
 3.04197030e-04  2.15703892e+02  4.19663046e-01 
 3.05197030e-04  2.15680946e+02  5.19663046e-01 
 3.06197030e-04  2.15658003e+02  6.19663046e-01 
 3.07197030e-04  2.15635061e+02  7.19663046e-01 
