 time            v(vout)         @l1[i]          v(ns1)         
 9.06804285e-05  3.84788225e+00  8.55434655e+00  1.99722278e+01 
 9.10804285e-05  3.87450614e+00  8.61879077e+00  1.99722695e+01 
 9.14804285e-05  3.90133413e+00  8.68312727e+00  1.99718215e+01 
 9.18804285e-05  3.92836540e+00  8.74735524e+00  1.99718615e+01 
 9.22804285e-05  3.95559909e+00  8.81147386e+00  1.99714126e+01 
 9.26804285e-05  3.98303437e+00  8.87548232e+00  1.99714519e+01 
 9.30804285e-05  4.01067039e+00  8.93937982e+00  1.99710028e+01 
 9.34804285e-05  4.03850630e+00  9.00316556e+00  1.99710419e+01 
 9.38804285e-05  4.06654126e+00  9.06683873e+00  1.99705930e+01 
 9.42804285e-05  4.09477442e+00  9.13039855e+00  1.99706323e+01 
 9.46804285e-05  4.12320493e+00  9.19384422e+00  1.99701839e+01 
 9.50804285e-05  4.15183193e+00  9.25717496e+00  1.99702235e+01 
 9.54804285e-05  4.18065457e+00  9.32038999e+00  1.99697757e+01 
 9.58804285e-05  4.20967200e+00  9.38348852e+00  1.99698158e+01 
 9.62804285e-05  4.23888337e+00  9.44646978e+00  1.99693687e+01 
 9.66804285e-05  4.26828780e+00  9.50933299e+00  1.99694094e+01 
 9.70804285e-05  4.29788445e+00  9.57207739e+00  1.99689631e+01 
 9.74804285e-05  4.32767245e+00  9.63470221e+00  1.99690043e+01 
 9.78804285e-05  4.35765095e+00  9.69720669e+00  1.99685589e+01 
 9.82804285e-05  4.38781907e+00  9.75959007e+00  1.99686008e+01 
 9.86804285e-05  4.41817596e+00  9.82185160e+00  1.99681562e+01 
 9.90804285e-05  4.44872074e+00  9.88399051e+00  1.99681987e+01 
 9.94804285e-05  4.47945256e+00  9.94600607e+00  1.99677550e+01 
